baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
L1PA10_dup1294:L1PA10:L1:LINE	4.70295032019137	3.55016675171314	1.47825651914852	2.40159045857484	0.0163239725167016	0.101774993361759
L1PA10_dup1295:L1PA10:L1:LINE	2.48012120843427	4.56672064295825	1.93707697872017	2.35753183437009	0.0183968778478724	0.111222935951623
L1PA10_dup1298:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup129:L1PA10:L1:LINE	0.359903722520084	-2.20613767214158	4.04387506679691	-0.545550402942845	0.585375024925567	NA
L1PA10_dup1302:L1PA10:L1:LINE	0.149871585239375	0.550681247688702	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1303:L1PA10:L1:LINE	0.298760316437144	1.50829855970881	4.0325818195388	0.374028011632832	0.708383475950607	NA
L1PA10_dup1305:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1307:L1PA10:L1:LINE	0.209986841649145	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup1308:L1PA10:L1:LINE	1.61895427424619	1.86157340259512	2.08289429198154	0.89374358063276	0.371459102106697	0.667183360948054
L1PA10_dup1309:L1PA10:L1:LINE	3.48110351291077	-2.82502231396602	1.59689326248152	-1.76907397653868	0.0768815300848627	0.292457605642049
L1PA10_dup1314:L1PA10:L1:LINE	0.637855395523574	1.07219567052195	2.96204803998504	0.361977812664838	0.717368610692364	NA
L1PA10_dup1321:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
L1PA10_dup1324:L1PA10:L1:LINE	0.167920019821854	-1.37287210395379	4.0804728567969	-0.336449267556571	0.736532102458275	NA
L1PA10_dup1331:L1PA10:L1:LINE	0.149380158218572	0.550681247688703	4.0804728567969	0.134955253230376	0.892647253331187	NA
